combo_1,combo_2,combo_3,combo_4,combo_5
1006650011,1006650011,1006650011,1006650011,1006650011
1006720001,1006720001,1006720001,1006720001,1006720001
1006750001,1006750001,1006750001,1006750001,1006750001
1007570031,1007570031,1007570031,1007570031,1007570031
1010940017,1010940017,1010940017,1010940017,1010940017
2025430001,2025430001,2025430001,2025430001,2025430001
2025830050,2025830050,2025830050,2025830050,2025830050
2025850026,2025850026,2025850026,2025850026,2025850026
2025880033,2025880033,2025880033,2025880033,2025880033
2025900016,2025900016,2025900016,2025900016,2025900016
2025910046,2025910046,2025910046,2025910046,2025910046
2025950033,2025950033,2025950033,2025950033,2025950033
2025990069,2025990069,2025990069,2025990069,2025990069
2025990100,2025990100,2025990100,2025990100,2025990100
2026060003,2026060003,2026060003,2026060003,2026060003
2026060030,2026060030,2026060030,2026060030,2026060030
2027620309,2027620309,2027620309,2027620309,2027620309
2027620421,2027620421,2027620421,2027620421,2027620421
2027640086,2027640086,2027640086,2027640086,2027640086
2027650001,2027650001,2027650001,2027650001,2027650001
2027660260,2027660260,2027660260,2027660260,2027660260
2027680081,2027680081,2027680081,2027680081,2027680081
2027680159,2027680159,2027680159,2027680159,2027680159
2027680305,2027680305,2027680305,2027680305,2027680305
2027690064,2027690064,2027690064,2027690064,2027690064
2027690205,2027690205,2027690205,2027690205,2027690205
2027710135,2027710135,2027710135,2027710135,2027710135
2027720061,2027720061,2027720061,2027720061,2027720061
2027720213,2027720213,2027720213,2027720213,2027720213
2027740142,2027740142,2027740142,2027740142,2027740142
2027740306,2027740306,2027740306,2027740306,2027740306
2027750073,2027750073,2027750073,2027750073,2027750073
2027750208,2027750208,2027750208,2027750208,2027750208
2027770025,2027770025,2027770025,2027770025,2027770025
2027770166,2027770166,2027770166,2027770166,2027770166
2035400101,2035400101,2035400101,2035400101,2035400101
2036160001,2036160001,2036160001,2036160001,2036160001
2038400023,2038400023,2038400023,2038400023,2038400023
2038510001,2038510001,2038510001,2038510001,2038510001
2049530059,2049530059,2049530059,2049530059,2049530059
