combo_1,combo_2,combo_3,combo_4,combo_5
2052550020,2052550020,2052550020,2052550020,2052550020
2052770001,2052770001,2052770001,2052770001,2052770001
2052830016,2052830016,2052830016,2052830016,2052830016
2052850003,2052850003,2052850003,2052850003,2052850003
2056550221,2056550221,2056550221,2056550221,2056550221
3004200001,3004200001,3004200001,3004200001,3004200001
3004830001,3004830001,3004830001,3004830001,3004830001
3005140001,3005140001,3005140001,3005140001,3005140001
3005950200,3005950200,3005950200,3005950200,3005950200
3006120205,3006120205,3006120205,3006120205,3006120205
3006230100,3006230100,3006230100,3006230100,3006230100
3006250080,3006250080,3006250080,3006250080,3006250080
3006830001,3006830001,3006830001,3006830001,3006830001
3006950001,3006950001,3006950001,3006950001,3006950001
3007060001,3007060001,3007060001,3007060001,3007060001
3007260001,3007260001,3007260001,3007260001,3007260001
3007350001,3007350001,3007350001,3007350001,3007350001
3007710040,3007710040,3007710040,3007710040,3007710040
3007960001,3007960001,3007960001,3007960001,3007960001
3008030035,3008030035,3008030035,3008030035,3008030035
3008030067,3008030067,3008030067,3008030067,3008030067
3009790018,3009790018,3009790018,3009790018,3009790018
3009900050,3009900050,3009900050,3009900050,3009900050
3010070220,3010070220,3010070220,3010070220,3010070220
3010390001,3010390001,3010390001,3010390001,3010390001
3025780001,3025780001,3025780001,3025780001,3025780001
3025810028,3025810028,3025810028,3025810028,3025810028
3026150025,3026150025,3026150025,3026150025,3026150025
3026280006,3026280006,3026280006,3026280006,3026280006
3026610001,3026610001,3026610001,3026610001,3026610001
3028190011,3028190011,3028190011,3028190011,3028190011
3028420006,3028420006,3028420006,3028420006,3028420006
3028430023,3028430023,3028430023,3028430023,3028430023
3029870006,3029870006,3029870006,3029870006,3029870006
3029880037,3029880037,3029880037,3029880037,3029880037
3029900001,3029900001,3029900001,3029900001,3029900001
3029920021,3029920021,3029920021,3029920021,3029920021
3030070003,3030070003,3030070003,3030070003,3030070003
3030290038,3030290038,3030290038,3030290038,3030290038
3030560001,3030560001,3030560001,3030560001,3030560001
3036500001,3036500001,3036500001,3036500001,3036500001
3037000001,3037000001,3037000001,3037000001,3037000001
3037340001,3037340001,3037340001,3037340001,3037340001
3043630028,3043630028,3043630028,3043630028,3043630028
3043880028,3043880028,3043880028,3043880028,3043880028
3044070001,3044070001,3044070001,3044070001,3044070001
3045220020,3045220020,3045220020,3045220020,3045220020
3045590001,3045590001,3045590001,3045590001,3045590001
3064910011,3064910011,3064910011,3064910011,3064910011
3064910293,3064910293,3064910293,3064910293,3064910293
3069960042,3069960042,3069960042,3069960042,3069960042
3079180080,3079180080,3079180080,3079180080,3079180080
3079200004,3079200004,3079200004,3079200004,3079200004
4000360001,4000360001,4000360001,4000360001,4000360001
4000650057,4000650057,4000650057,4000650057,4000650057
4000680055,4000680055,4000680055,4000680055,4000680055
4000690014,4000690014,4000690014,4000690014,4000690014
4000960001,4000960001,4000960001,4000960001,4000960001
4000980022,4000980022,4000980022,4000980022,4000980022
4001150210,4001150210,4001150210,4001150210,4001150210
4001200012,4001200012,4001200012,4001200012,4001200012
4001830051,4001830051,4001830051,4001830051,4001830051
4002160020,4002160020,4002160020,4002160020,4002160020
4002400001,4002400001,4002400001,4002400001,4002400001
4002500001,4002500001,4002500001,4002500001,4002500001
4002550001,4002550001,4002550001,4002550001,4002550001
4002610015,4002610015,4002610015,4002610015,4002610015
4002840001,4002840001,4002840001,4002840001,4002840001
4002900001,4002900001,4002900001,4002900001,4002900001
4002930001,4002930001,4002930001,4002930001,4002930001
4002940200,4002940200,4002940200,4002940200,4002940200
4004430010,4004430010,4004430010,4004430010,4004430010
4004540020,4004540020,4004540020,4004540020,4004540020
4004600005,4004600005,4004600005,4004600005,4004600005
4004760017,4004760017,4004760017,4004760017,4004760017
4007650001,4007650001,4007650001,4007650001,4007650001
4007880010,4007880010,4007880010,4007880010,4007880010
4007900015,4007900015,4007900015,4007900015,4007900015
4008010018,4008010018,4008010018,4008010018,4008010018
4008020045,4008020045,4008020045,4008020045,4008020045
4008130065,4008130065,4008130065,4008130065,4008130065
4008260028,4008260028,4008260028,4008260028,4008260028
4010640002,4010640002,4010640002,4010640002,4010640002
4023440004,4023440004,4023440004,4023440004,4023440004
4025230002,4025200060,4025200060,4025200060,4025200060
4025250055,4025230002,4025230002,4025230002,4025230002
4025290010,4025290030,4025290030,4025290030,4025290030
4025290040,4025460001,4025460001,4025460001,4025460001
4025460001,4025500078,4025500078,4025500078,4025500078
4025500078,4025520024,4025520024,4025520024,4025520024
4025620037,4025730025,4025730025,4025730025,4025730025
4025730176,4025750160,4025750160,4025750160,4025750160
4025730212,4025750300,4025750300,4025750300,4025750300
4025750005,4026010001,4026010001,4026010001,4026010001
4025750170,4026010040,4026010040,4026010040,4026010040
4026010001,4026020190,4026020190,4026020190,4026020190
4026010040,4026030012,4026030012,4026030012,4026030012
4026020115,4026100219,4026100219,4026100219,4026100219
4026030001,4026110480,4026110480,4026110480,4026110480
4026100240,4026570028,4026570028,4026570028,4026570028
4026110480,4026620080,4026620080,4026620080,4026620080
4026570028,4033930001,4033930001,4033930001,4033930001
4026620080,4041370001,4041370001,4041370001,4041370001
4033930001,4041450001,4041450001,4041450001,4041450001
4041370001,4042070016,4042070016,4042070016,4042070016
4041450001,4043180001,4043180001,4043180001,4043180001
4042070016,4043200047,4043200047,4043200047,4043200047
4043180001,4043570002,4043570002,4043570002,4043570002
4043200047,4043670001,4043670001,4043670001,4043670001
4043570002,4043770001,4043770001,4043770001,4043770001
4043670001,4043840020,4043840020,4043840020,4043840020
4043770001,4043950008,4043950008,4043950008,4043950008
4043840020,4049450019,4049450019,4049450019,4049450019
4043950008,4049460006,4049460006,4049460006,4049460006
4049450019,4103360059,4103360059,4103360059,4103360059
4049460006,4129990160,4129990160,4129990160,4129990160
4103360059,4132960101,4132960101,4132960101,4132960101
4129990160,4133640070,4133640070,4133640070,4133640070
4132960101,4134060183,4134060183,4134060183,4134060183
4133640070,4134130001,4134130001,4134130001,4134130001
4134060183,4134190013,4134190013,4134190013,4134190013
4134130001,4137910020,4137910020,4137910020,4137910020
4134190013,4137910023,4137910023,4137910023,4137910023
4137910020,4138950001,4138950001,4138950001,4138950001
4137910023,4138950080,4138950080,4138950080,4138950080
4138950001,4142600090,4142600090,4142600090,4142600090
4138950080,4142600111,4142600111,4142600111,4142600111
4142600090,4150060065,4150060065,4150060065,4150060065
4142600111,4161660281,4161660281,4161660281,4161660281
4150060065,5000040021,5000040021,5000040021,5000040021
4161660281,5012700007,5012700007,5012700007,5012700007
5000040021,5012900101,5012900101,5012900101,5012900101
5012700007,5013800001,5013800001,5013800001,5013800001
5012900101,5013840041,5013840041,5013840041,5013840041
5013800001,5014100183,5014100183,5014100183,5014100183
5013840041,5017150050,5017150050,5017150050,5017150050
5014100183,5017250085,5017250085,5017250085,5017250085
5017150050,5017250195,5017250195,5017250195,5017250195
5017250085,5017600025,5017800057,5017600025,5017600025
5017250195,5017800057,5017800160,5017800080,5017800057
5017600001,5017800160,5017800200,5017800164,5017800160
5017800057,5017800298,5018010010,5018010010,5017800200
5018010010,5018010010,5018010100,5018010100,5018010010
5018010100,5018010100,5018350020,5018150199,5018010100
5018550009,5018550009,5018550009,5018550009,5018550009
5021620600,5021620600,5021620600,5021620600,5021620600
5026380050,5026380050,5026380050,5026380050,5026380050
5027050140,5027050140,5027050140,5027050140,5027050140
5027050225,5027050225,5027050225,5027050225,5027050225
5027860071,5027860071,5027860071,5027860071,5027860071
5070670112,5070670112,5070670112,5070670112,5070670112
5071000028,5071000028,5071000028,5071000028,5071000028
5071320050,5071320050,5071320050,5071320050,5071320050
5071440490,5071440490,5071440490,5071440490,5071440490
5071520010,5071520010,5071520010,5071520010,5071520010
5072060056,5072060056,5072060056,5072060056,5072060056
5072060086,5072060086,5072060086,5072060086,5072060086
5072060315,5072060315,5072060315,5072060315,5072060315
5072930250,5072930250,5072930250,5072930250,5072930250
5073280265,5073280265,5073280265,5073280265,5073280265
5073850001,5073850001,5073850001,5073850001,5073850001
5073850231,5073850231,5073850231,5073850231,5073850231
5074690190,5074690190,5074690190,5074690190,5074690190
5074870050,5074870050,5074870050,5074870050,5074870050
5075150200,5075150200,5075150200,5075150200,5075150200
5075800020,5075800020,5075800020,5075800020,5075800020
5075840037,5075840037,5075840037,5075840037,5075840037
5075840075,5075840075,5075840075,5075840075,5075840075
5079830016,5079830016,5079830016,5079830016,5079830016
